1	2
1	5
1	10
1	11
1	17
1	18
1	20
1	21
1	22
1	25
1	27
1	29
1	31
1	48
1	68
1	75
2	5
2	10
2	11
2	12
2	14
2	15
2	17
2	19
2	21
2	22
2	28
2	31
2	51
2	80
2	127
3	5
3	6
3	7
3	10
3	11
3	14
3	15
3	16
3	17
3	22
3	29
3	31
3	32
3	43
3	70
3	73
4	6
4	9
4	11
4	13
4	14
4	16
4	19
4	21
4	28
4	29
4	30
4	31
4	32
4	90
4	99
4	107
5	7
5	10
5	11
5	12
5	13
5	15
5	16
5	18
5	29
5	31
5	37
5	75
5	100
6	7
6	11
6	15
6	16
6	17
6	18
6	20
6	25
6	27
6	28
6	31
6	56
6	70
6	75
7	8
7	16
7	21
7	24
7	26
7	27
7	29
7	30
7	31
7	32
7	46
7	82
7	104
8	12
8	13
8	15
8	16
8	17
8	19
8	20
8	24
8	25
8	29
8	31
8	32
8	46
8	48
8	60
9	11
9	13
9	17
9	19
9	21
9	23
9	25
9	26
9	27
9	28
9	31
9	32
9	101
9	120
9	122
10	13
10	14
10	15
10	17
10	19
10	20
10	24
10	25
10	31
10	57
10	60
10	126
11	13
11	17
11	19
11	22
11	29
11	32
11	58
11	76
11	123
12	13
12	14
12	18
12	21
12	22
12	25
12	28
12	29
12	31
12	32
12	36
12	61
12	123
13	15
13	18
13	24
13	26
13	28
13	31
13	48
13	58
13	70
14	17
14	23
14	24
14	25
14	26
14	30
14	31
14	32
14	76
14	77
14	103
15	16
15	17
15	18
15	19
15	20
15	29
15	38
15	61
15	89
16	17
16	21
16	25
16	27
16	31
16	32
16	40
16	110
16	121
17	18
17	21
17	106
17	113
17	115
18	21
18	22
18	24
18	26
18	27
18	30
18	53
18	86
18	100
19	21
19	23
19	24
19	26
19	27
19	31
19	47
19	88
19	99
20	21
20	24
20	25
20	28
20	29
20	30
20	31
20	32
20	63
20	110
20	118
21	22
21	30
21	63
21	64
21	79
21	102
22	24
22	25
22	26
22	27
22	28
22	32
22	35
22	40
22	117
23	24
23	25
23	26
23	27
23	28
23	29
23	30
23	31
23	32
